Model,Scenario,Episode Number,Reward
Single Moon,Earth - No Wind,110,248.08690703367836
Single Moon,Earth - No Wind,111,-7.535427875095451
Single Moon,Earth - No Wind,112,-53.786497495224026
Single Moon,Earth - No Wind,113,241.9240772206307
Single Moon,Earth - No Wind,114,11.620320521380634
Single Moon,Earth - No Wind,115,260.02297361643986
Single Moon,Earth - No Wind,116,-81.98945646641477
Single Moon,Earth - No Wind,117,-56.256866084668744
Single Moon,Earth - No Wind,118,-51.53147103203419
Single Moon,Earth - No Wind,119,-113.77409726537314
Single Moon,Earth - No Wind,120,26.487282557346035
Single Moon,Earth - No Wind,121,-66.34708650790307
Single Moon,Earth - No Wind,122,265.74419233821504
Single Moon,Earth - No Wind,123,243.623114246066
Single Moon,Earth - No Wind,124,15.200566455753489
Single Moon,Earth - No Wind,125,-108.77169218424774
Single Moon,Earth - No Wind,126,-36.631313611740836
Single Moon,Earth - No Wind,127,-61.326717509096206
Single Moon,Earth - No Wind,128,-44.68730514488077
Single Moon,Earth - No Wind,129,259.0277006119775
Single Moon,Earth - No Wind,130,14.520023079191304
Single Moon,Earth - No Wind,131,-18.078576321305192
Single Moon,Earth - No Wind,132,22.071426481437186
Single Moon,Earth - No Wind,133,-0.5492745032284461
Single Moon,Earth - No Wind,134,-29.790312357415786
Single Moon,Earth - No Wind,135,-158.51874017010917
Single Moon,Earth - No Wind,136,45.792645169807116
Single Moon,Earth - No Wind,137,-16.945357734760094
Single Moon,Earth - No Wind,138,-23.41521394678989
Single Moon,Earth - No Wind,139,26.485697812536827
Single Moon,Earth - No Wind,140,27.466166465138585
Single Moon,Earth - No Wind,141,-50.31528559603433
Single Moon,Earth - No Wind,142,73.71855520407252
Single Moon,Earth - No Wind,143,-12.058295810987616
Single Moon,Earth - No Wind,144,270.8182886395937
Single Moon,Earth - No Wind,145,-93.94355621822879
Single Moon,Earth - No Wind,146,-13.580075297529277
Single Moon,Earth - No Wind,147,30.17911890988728
Single Moon,Earth - No Wind,148,-28.417927204689107
Single Moon,Earth - No Wind,149,-88.26328732312003
Single Moon,Earth - No Wind,150,-20.86971136165151
Single Moon,Earth - No Wind,151,-36.83844595467052
Single Moon,Earth - No Wind,152,-5.866070988803543
Single Moon,Earth - No Wind,153,251.65960998973802
Single Moon,Earth - No Wind,154,37.4179856976308
Single Moon,Earth - No Wind,155,30.47342966714899
Single Moon,Earth - No Wind,156,-77.84940163797083
Single Moon,Earth - No Wind,157,-47.516446132360414
Single Moon,Earth - No Wind,158,-41.9451008152177
Single Moon,Earth - No Wind,159,241.86461127158617
Single Moon,Earth - No Wind,160,-115.45691562690507
Single Moon,Earth - No Wind,161,-34.33373119051252
Single Moon,Earth - No Wind,162,45.27471447008503
Single Moon,Earth - No Wind,163,-63.25635363619105
Single Moon,Earth - No Wind,164,0.45640254714504636
Single Moon,Earth - No Wind,165,-94.35024162919879
Single Moon,Earth - No Wind,166,14.869032327316603
Single Moon,Earth - No Wind,167,-0.4602652218860186
Single Moon,Earth - No Wind,168,-15.143026524990958
Single Moon,Earth - No Wind,169,250.78798865844755
Single Moon,Earth - No Wind,170,267.56729727005916
Single Moon,Earth - No Wind,171,-40.463048883217
Single Moon,Earth - No Wind,172,-30.557673219361277
Single Moon,Earth - No Wind,173,-31.846251283886488
Single Moon,Earth - No Wind,174,4.855104338514167
Single Moon,Earth - No Wind,175,14.083911988267218
Single Moon,Earth - No Wind,176,-14.851597554961742
Single Moon,Earth - No Wind,177,-27.947911534152283
Single Moon,Earth - No Wind,178,-16.528834049740183
Single Moon,Earth - No Wind,179,238.4168209235392
Single Moon,Earth - No Wind,180,-35.41381498030381
Single Moon,Earth - No Wind,181,-30.296222460260964
Single Moon,Earth - No Wind,182,-43.678821936149134
Single Moon,Earth - No Wind,183,261.4574098765895
Single Moon,Earth - No Wind,184,-10.802440637892502
Single Moon,Earth - No Wind,185,268.8094999121475
Single Moon,Earth - No Wind,186,232.4038939257931
Single Moon,Earth - No Wind,187,-13.329169451011978
Single Moon,Earth - No Wind,188,-22.29652374089845
Single Moon,Earth - No Wind,189,-63.59215162578711
Single Moon,Earth - No Wind,190,-1.3602281547535142
Single Moon,Earth - No Wind,191,-10.379605250676306
Single Moon,Earth - No Wind,192,-68.69542599166078
Single Moon,Earth - No Wind,193,-29.163367432733992
Single Moon,Earth - No Wind,194,-30.97237187364442
Single Moon,Earth - No Wind,195,-78.65385175784789
Single Moon,Earth - No Wind,196,2.3472829120964604
Single Moon,Earth - No Wind,197,19.984494602730592
Single Moon,Earth - No Wind,198,-41.7904268627821
Single Moon,Earth - No Wind,199,-18.06426484247308
Single Moon,Earth - No Wind,200,-28.174971140629694
Single Moon,Mars - Wind=5,1,-78.53919723624716
Single Moon,Mars - Wind=5,2,0.4492423991999459
Single Moon,Mars - Wind=5,3,224.06945974733486
Single Moon,Mars - Wind=5,4,-101.76054621048812
Single Moon,Mars - Wind=5,5,-94.46280971682697
Single Moon,Mars - Wind=5,6,278.07526287200176
Single Moon,Mars - Wind=5,7,281.73805988265883
Single Moon,Mars - Wind=5,8,274.17683711492896
Single Moon,Mars - Wind=5,9,254.44213796014904
Single Moon,Mars - Wind=5,10,280.6395409078581
Single Moon,Mars - Wind=5,11,-147.52724969142002
Single Moon,Mars - Wind=5,12,-40.65061428043829
Single Moon,Mars - Wind=5,13,14.338317177331632
Single Moon,Mars - Wind=5,14,15.450373484205159
Single Moon,Mars - Wind=5,15,215.24794567176656
Single Moon,Mars - Wind=5,16,187.95630521859496
Single Moon,Mars - Wind=5,17,276.5748375386637
Single Moon,Mars - Wind=5,18,30.97092281831246
Single Moon,Mars - Wind=5,19,306.75505262975196
Single Moon,Mars - Wind=5,20,283.7301649383694
Single Moon,Mars - Wind=5,21,225.1133782678496
Single Moon,Mars - Wind=5,22,285.36409923730446
Single Moon,Mars - Wind=5,23,246.8055785804436
Single Moon,Mars - Wind=5,24,291.10451108473836
Single Moon,Mars - Wind=5,25,219.39459727316017
Single Moon,Mars - Wind=5,26,331.816485355044
Single Moon,Mars - Wind=5,27,225.55736742375933
Single Moon,Mars - Wind=5,28,189.45173471436527
Single Moon,Mars - Wind=5,29,53.74347083813415
Single Moon,Mars - Wind=5,30,301.74139667743736
Single Moon,Mars - Wind=5,31,26.28830704316789
Single Moon,Mars - Wind=5,32,-161.74485948075124
Single Moon,Mars - Wind=5,33,262.774936638889
Single Moon,Mars - Wind=5,34,-75.4763991369582
Single Moon,Mars - Wind=5,35,-7.133579633834259
Single Moon,Mars - Wind=5,36,-150.5027697235541
Single Moon,Mars - Wind=5,37,-99.5113940052157
Single Moon,Mars - Wind=5,38,-60.428153896488666
Single Moon,Mars - Wind=5,39,253.04475362450637
Single Moon,Mars - Wind=5,40,-92.65380460057126
Single Moon,Mars - Wind=5,41,246.51015714589352
Single Moon,Mars - Wind=5,42,193.8633218122782
Single Moon,Mars - Wind=5,43,226.87129085579136
Single Moon,Mars - Wind=5,44,-11.00332795342328
Single Moon,Mars - Wind=5,45,290.59088560703515
Single Moon,Mars - Wind=5,46,-153.34524066803104
Single Moon,Mars - Wind=5,47,185.32238777848818
Single Moon,Mars - Wind=5,48,23.035163657607853
Single Moon,Mars - Wind=5,49,-99.85328578192687
Single Moon,Mars - Wind=5,50,-137.98357656244974
Single Moon,Mars - Wind=5,51,-65.96023866380952
Single Moon,Mars - Wind=5,52,3.318117950630622
Single Moon,Mars - Wind=5,53,229.86676600358936
Single Moon,Mars - Wind=5,54,-159.55952970711698
Single Moon,Mars - Wind=5,55,-113.92452785403322
Single Moon,Mars - Wind=5,56,236.6090026980084
Single Moon,Mars - Wind=5,57,162.14484597589794
Single Moon,Mars - Wind=5,58,111.17733566217193
Single Moon,Mars - Wind=5,59,286.7988419722608
Single Moon,Mars - Wind=5,60,60.48201119400598
Single Moon,Mars - Wind=5,61,255.64120491146477
Single Moon,Mars - Wind=5,62,283.27552121950146
Single Moon,Mars - Wind=5,63,114.09130175256922
Single Moon,Mars - Wind=5,64,288.2949884512075
Single Moon,Mars - Wind=5,65,297.9629434741523
Single Moon,Mars - Wind=5,66,261.94192278261175
Single Moon,Mars - Wind=5,67,265.0382636471726
Single Moon,Mars - Wind=5,68,258.545184900707
Single Moon,Mars - Wind=5,69,-12.12313476348551
Single Moon,Mars - Wind=5,70,293.3087406098442
Single Moon,Mars - Wind=5,71,340.45152244117014
Single Moon,Mars - Wind=5,72,245.94082191508446
Single Moon,Mars - Wind=5,73,260.88135160861856
Single Moon,Mars - Wind=5,74,101.26789249302472
Single Moon,Mars - Wind=5,75,292.35175127317353
Single Moon,Mars - Wind=5,76,265.074723318015
Single Moon,Mars - Wind=5,77,280.67473036726983
Single Moon,Mars - Wind=5,78,172.6198277367225
Single Moon,Mars - Wind=5,79,148.24804113553938
Single Moon,Mars - Wind=5,80,236.9536833760542
Single Moon,Mars - Wind=5,81,280.6646949530383
Single Moon,Mars - Wind=5,82,299.64415524073974
Single Moon,Mars - Wind=5,83,114.51915713584405
Single Moon,Mars - Wind=5,84,277.9265739752227
Single Moon,Mars - Wind=5,85,270.3315604025351
Single Moon,Mars - Wind=5,86,126.92817398599217
Single Moon,Mars - Wind=5,87,-76.62297823352591
Single Moon,Mars - Wind=5,88,-41.49315315549991
Single Moon,Mars - Wind=5,89,289.57918529502047
Single Moon,Mars - Wind=5,90,264.6260776588774
Single Moon,Mars - Wind=5,91,273.5214526951594
Single Moon,Mars - Wind=5,92,252.08315322085377
Single Moon,Mars - Wind=5,93,-105.29729027806998
Single Moon,Mars - Wind=5,94,-134.66180516394533
Single Moon,Mars - Wind=5,95,219.6779008701415
Single Moon,Mars - Wind=5,96,108.31811639282378
Single Moon,Mars - Wind=5,97,-4.3970409026634485
Single Moon,Mars - Wind=5,98,-122.56776443827158
Single Moon,Mars - Wind=5,99,304.2888292436644
Single Moon,Mars - Wind=5,100,-131.1533008939448
Single Moon,Mars - Wind=5,101,-143.88347314546644
Single Moon,Mars - Wind=5,102,281.74304804621204
Single Moon,Mars - Wind=5,103,134.02057114738608
Single Moon,Mars - Wind=5,104,-106.17489820012057
Single Moon,Mars - Wind=5,105,200.51740473869324
Single Moon,Mars - Wind=5,106,241.50469694712268
Single Moon,Mars - Wind=5,107,285.8316275672836
Single Moon,Mars - Wind=5,108,-17.867438437016233
Single Moon,Mars - Wind=5,109,308.33030823877226
Single Moon,Mars - Wind=5,110,-125.11095225159706
Single Moon,Mars - Wind=5,111,224.10471770325165
Single Moon,Mars - Wind=5,112,88.36776889072453
Single Moon,Mars - Wind=5,113,279.31241232010916
Single Moon,Mars - Wind=5,114,294.06002876279274
Single Moon,Mars - Wind=5,115,266.07265989078036
Single Moon,Mars - Wind=5,116,261.9128394326591
Single Moon,Mars - Wind=5,117,211.7621560990209
Single Moon,Mars - Wind=5,118,129.5712991381662
Single Moon,Mars - Wind=5,119,-55.58564742202772
Single Moon,Mars - Wind=5,120,295.986146817484
Single Moon,Mars - Wind=5,121,251.96965920090287
Single Moon,Mars - Wind=5,122,215.0310798752879
Single Moon,Mars - Wind=5,123,-65.12636326577534
Single Moon,Mars - Wind=5,124,49.58169320870843
Single Moon,Mars - Wind=5,125,243.0672914037231
Single Moon,Mars - Wind=5,126,-114.89641789278107
Single Moon,Mars - Wind=5,127,-100.89371158038387
Single Moon,Mars - Wind=5,128,-32.47292816002357
Single Moon,Mars - Wind=5,129,303.5032880323444
Single Moon,Mars - Wind=5,130,113.80164916804672
Single Moon,Mars - Wind=5,131,134.1124112450412
Single Moon,Mars - Wind=5,132,102.82489245933758
Single Moon,Mars - Wind=5,133,281.8142601642287
Single Moon,Mars - Wind=5,134,-80.62709029411215
Single Moon,Mars - Wind=5,135,89.7233992412606
Single Moon,Mars - Wind=5,136,255.18661427216972
Single Moon,Mars - Wind=5,137,237.849642630142
Single Moon,Mars - Wind=5,138,255.46499913531017
Single Moon,Mars - Wind=5,139,306.32707623896164
Single Moon,Mars - Wind=5,140,273.0381434452912
Single Moon,Mars - Wind=5,141,108.27103743573221
Single Moon,Mars - Wind=5,142,243.46211630213074
Single Moon,Mars - Wind=5,143,286.78230836087505
Single Moon,Mars - Wind=5,144,56.92610698101083
Single Moon,Mars - Wind=5,145,-105.52592276816429
Single Moon,Mars - Wind=5,146,243.92338022772498
Single Moon,Mars - Wind=5,147,290.2090171145397
Single Moon,Mars - Wind=5,148,27.64779225122112
Single Moon,Mars - Wind=5,149,86.18434300436964
Single Moon,Mars - Wind=5,150,248.9786979149925
Single Moon,Mars - Wind=5,151,334.80170356935804
Single Moon,Mars - Wind=5,152,303.13878278686184
Single Moon,Mars - Wind=5,153,-125.06945077985742
Single Moon,Mars - Wind=5,154,11.929366109473747
Single Moon,Mars - Wind=5,155,289.25686188146005
Single Moon,Mars - Wind=5,156,8.290098425039787
Single Moon,Mars - Wind=5,157,218.17508582258202
Single Moon,Mars - Wind=5,158,44.60631389651316
Single Moon,Mars - Wind=5,159,4.185830595180192
Single Moon,Mars - Wind=5,160,275.2079903170751
Single Moon,Mars - Wind=5,161,264.88228770032435
Single Moon,Mars - Wind=5,162,275.04189915325526
Single Moon,Mars - Wind=5,163,249.94755990667315
Single Moon,Mars - Wind=5,164,-129.00183179934385
Single Moon,Mars - Wind=5,165,277.38402485208894
Single Moon,Mars - Wind=5,166,-12.526010777630034
Single Moon,Mars - Wind=5,167,-58.603383319299205
Single Moon,Mars - Wind=5,168,188.69430683651308
Single Moon,Mars - Wind=5,169,-88.74672202831177
Single Moon,Mars - Wind=5,170,273.977230278607
Single Moon,Mars - Wind=5,171,244.73961426537954
Single Moon,Mars - Wind=5,172,262.1812775962357
Single Moon,Mars - Wind=5,173,207.45794378268332
Single Moon,Mars - Wind=5,174,217.82619028516382
Single Moon,Mars - Wind=5,175,240.44756196966202
Single Moon,Mars - Wind=5,176,193.031680736458
Single Moon,Mars - Wind=5,177,277.95258190555205
Single Moon,Mars - Wind=5,178,293.0064609476094
Single Moon,Mars - Wind=5,179,232.09852248499658
Single Moon,Mars - Wind=5,180,179.65574662631406
Single Moon,Mars - Wind=5,181,289.7203828495195
Single Moon,Mars - Wind=5,182,261.99517358237654
Single Moon,Mars - Wind=5,183,178.423825092605
Single Moon,Mars - Wind=5,184,33.84449163447877
Single Moon,Mars - Wind=5,185,253.13976841259714
Single Moon,Mars - Wind=5,186,24.61242160018736
Single Moon,Mars - Wind=5,187,267.67530883340623
Single Moon,Mars - Wind=5,188,254.2975298534848
Single Moon,Mars - Wind=5,189,25.157631976747524
Single Moon,Mars - Wind=5,190,10.855854375117147
Single Moon,Mars - Wind=5,191,-181.90865736852527
Single Moon,Mars - Wind=5,192,125.11042221172313
Single Moon,Mars - Wind=5,193,295.5678952315597
Single Moon,Mars - Wind=5,194,-85.33561634188064
Single Moon,Mars - Wind=5,195,208.37807697574817
Single Moon,Mars - Wind=5,196,5.6082586475145035
Single Moon,Mars - Wind=5,197,-19.84405756241607
Single Moon,Mars - Wind=5,198,108.4993010500034
Single Moon,Mars - Wind=5,199,241.15232442137798
Single Moon,Mars - Wind=5,200,237.6911695540625
Single Moon,Moon - Wind=15,1,92.72891024898973
Single Moon,Moon - Wind=15,2,274.33881170017855
Single Moon,Moon - Wind=15,3,9.563424128525725
Single Moon,Moon - Wind=15,4,-57.496890341391946
Single Moon,Moon - Wind=15,5,297.5769090669256
Single Moon,Moon - Wind=15,6,-240.4934232110307
Single Moon,Moon - Wind=15,7,-53.91586029057376
Single Moon,Moon - Wind=15,8,281.60369038999977
Single Moon,Moon - Wind=15,9,-189.5568928681972
Single Moon,Moon - Wind=15,10,-156.47311589970275
Single Moon,Moon - Wind=15,11,-222.87067749699037
Single Moon,Moon - Wind=15,12,-203.40278059035361
Single Moon,Moon - Wind=15,13,282.9030599547656
Single Moon,Moon - Wind=15,14,120.63127415874169
Single Moon,Moon - Wind=15,15,-113.82636517680466
Single Moon,Moon - Wind=15,16,310.0773220662503
Single Moon,Moon - Wind=15,17,-96.86840380393213
Single Moon,Moon - Wind=15,18,221.00557388550297
Single Moon,Moon - Wind=15,19,-91.37400276649244
Single Moon,Moon - Wind=15,20,126.57448876384925
Single Moon,Moon - Wind=15,21,143.19317539511928
Single Moon,Moon - Wind=15,22,105.61720873605606
Single Moon,Moon - Wind=15,23,-211.65200183441166
Single Moon,Moon - Wind=15,24,231.1258723094712
Single Moon,Moon - Wind=15,25,-145.21335328170144
Single Moon,Moon - Wind=15,26,278.6078383655163
Single Moon,Moon - Wind=15,27,-179.79840524826534
Single Moon,Moon - Wind=15,28,-61.27157419117976
Single Moon,Moon - Wind=15,29,303.10332122200333
Single Moon,Moon - Wind=15,30,294.0946725253411
Single Moon,Moon - Wind=15,31,155.89854901078655
Single Moon,Moon - Wind=15,32,163.27415058431833
Single Moon,Moon - Wind=15,33,94.14015743735128
Single Moon,Moon - Wind=15,34,284.10156012577465
Single Moon,Moon - Wind=15,35,-244.2034774731546
Single Moon,Moon - Wind=15,36,129.60124930873914
Single Moon,Moon - Wind=15,37,309.4679271515606
Single Moon,Moon - Wind=15,38,-125.88890554312798
Single Moon,Moon - Wind=15,39,120.40394799585326
Single Moon,Moon - Wind=15,40,278.68378874166905
Single Moon,Moon - Wind=15,41,285.9898137011451
Single Moon,Moon - Wind=15,42,-198.48343092477018
Single Moon,Moon - Wind=15,43,229.92997369703215
Single Moon,Moon - Wind=15,44,-47.62307197795894
Single Moon,Moon - Wind=15,45,290.8017108993686
Single Moon,Moon - Wind=15,46,-44.064029157880356
Single Moon,Moon - Wind=15,47,152.28840206523202
Single Moon,Moon - Wind=15,48,228.89545395760615
Single Moon,Moon - Wind=15,49,-92.12501858613251
Single Moon,Moon - Wind=15,50,265.81901027341013
Single Moon,Moon - Wind=15,51,-176.55737926401395
Single Moon,Moon - Wind=15,52,304.86865795183195
Single Moon,Moon - Wind=15,53,-244.9335741298101
Single Moon,Moon - Wind=15,54,-256.0806286571791
Single Moon,Moon - Wind=15,55,45.04253949216866
Single Moon,Moon - Wind=15,56,-45.789918981068745
Single Moon,Moon - Wind=15,57,96.84582641892901
Single Moon,Moon - Wind=15,58,-205.75193225548526
Single Moon,Moon - Wind=15,59,-160.3695015275436
Single Moon,Moon - Wind=15,60,-196.74191397548174
