Scenario,Baseline FL,Model EPS=100,Model EPS=1000,Model EPS=500,Model EPS=5000,Single Earth,Single Mars,Single Moon
Earth - No Wind,254.2031636,-378.9563853,231.6458684,256.1764477,273.9361742,241.3165028,191.0962119,32.66240588
Earth - Wind=6,199.7649781,-343.5351281,179.5225468,216.6392962,234.3896827,229.1505304,143.0951932,-9.898484829
Mars - Wind=5,248.3338363,-540.9328782,210.5933624,240.7901039,249.4009173,154.5257612,187.6934709,140.5348293
Mars - Wind=8,250.986279,-586.0622278,210.8916331,243.5640915,247.3541534,150.6244375,174.1808286,130.2307485
Moon - Wind=15,71.74242522,-935.0203315,104.9393782,112.1410497,104.4724056,10.59712362,33.7078228,32.88347199
Moon - Wind=7,133.8474975,-1114.507834,119.6089499,129.0805401,146.3592094,55.07047375,56.72668336,102.0983894
Turbulence,179.5178162,-344.7377253,142.8111263,181.0499929,231.8134746,209.1193896,103.4112744,-31.40222373
Average,191.199428,-606.2503587,171.4304093,197.0630746,212.5322882,150.0577455,127.1302122,56.72987664
